Data;Mês;Filial;Tipo de serviço; Faturamento ; Custo ; Meta de faturamento ;Quantidade de serviços;Prazo médio (dias);Resultado;Margem;Atingimento da meta; Ticket médio ; Custo médio por serviço 
15/05/2026;Maio;Belo Horizonte;Manutenção preventiva; R$ 27.800,00 ; R$ 16.900,00 ; R$ 28.000,00 ;11;7; R$ 10.900,00 ;39,21%;99,29%; R$ 2.527,27 ; R$ 1.536,36 
15/05/2026;Maio;Salvador;Manutenção corretiva; R$ 30.600,00 ; R$ 21.800,00 ; R$ 31.000,00 ;8;12; R$ 8.800,00 ;28,76%;98,71%; R$ 3.825,00 ; R$ 2.725,00 
15/06/2026;Junho;São Paulo;Inspeção técnica; R$ 43.500,00 ; R$ 24.800,00 ; R$ 42.000,00 ;17;5; R$ 18.700,00 ;42,99%;103,57%; R$ 2.558,82 ; R$ 1.458,82 
15/06/2026;Junho;Rio de Janeiro;Manutenção preventiva; R$ 36.100,00 ; R$ 22.100,00 ; R$ 35.000,00 ;13;7; R$ 14.000,00 ;38,78%;103,14%; R$ 2.776,92 ; R$ 1.700,00 
15/06/2026;Junho;Belo Horizonte;Manutenção corretiva; R$ 29.400,00 ; R$ 20.700,00 ; R$ 30.000,00 ;8;11; R$ 8.700,00 ;29,59%;98,00%; R$ 3.675,00 ; R$ 2.587,50 
15/06/2026;Junho;Salvador;Inspeção técnica; R$ 27.200,00 ; R$ 15.900,00 ; R$ 27.000,00 ;12;6; R$ 11.300,00 ;41,54%;100,74%; R$ 2.266,67 ; R$ 1.325,00 
15/07/2026;Julho;São Paulo;Manutenção preventiva; R$ 44.800,00 ; R$ 26.900,00 ; R$ 43.000,00 ;16;7; R$ 17.900,00 ;39,96%;104,19%; R$ 2.800,00 ; R$ 1.681,25 
15/07/2026;Julho;Rio de Janeiro;Manutenção corretiva; R$ 37.400,00 ; R$ 25.600,00 ; R$ 38.000,00 ;10;11; R$ 11.800,00 ;31,55%;98,42%; R$ 3.740,00 ; R$ 2.560,00 
15/07/2026;Julho;Belo Horizonte;Inspeção técnica; R$ 30.100,00 ; R$ 17.400,00 ; R$ 29.000,00 ;13;5; R$ 12.700,00 ;42,19%;103,79%; R$ 2.315,38 ; R$ 1.338,46 
15/07/2026;Julho;Salvador;Manutenção preventiva; R$ 31.900,00 ; R$ 19.400,00 ; R$ 31.000,00 ;11;8; R$ 12.500,00 ;39,18%;102,90%; R$ 2.900,00 ; R$ 1.763,64 
15/08/2026;Agosto;São Paulo;Manutenção corretiva; R$ 42.100,00 ; R$ 29.200,00 ; R$ 44.000,00 ;11;12; R$ 12.900,00 ;30,64%;95,68%; R$ 3.827,27 ; R$ 2.654,55 
15/08/2026;Agosto;Rio de Janeiro;Inspeção técnica; R$ 38.900,00 ; R$ 22.200,00 ; R$ 37.000,00 ;16;6; R$ 16.700,00 ;42,93%;105,14%; R$ 2.431,25 ; R$ 1.387,50 
15/08/2026;Agosto;Belo Horizonte;Manutenção preventiva; R$ 31.600,00 ; R$ 18.900,00 ; R$ 31.000,00 ;12;7; R$ 12.700,00 ;40,19%;101,94%; R$ 2.633,33 ; R$ 1.575,00 
15/08/2026;Agosto;Salvador;Manutenção corretiva; R$ 32.800,00 ; R$ 23.100,00 ; R$ 34.000,00 ;9;13; R$ 9.700,00 ;29,57%;96,47%; R$ 3.644,44 ; R$ 2.566,67 
15/09/2026;Setembro;São Paulo;Inspeção técnica; R$ 46.200,00 ; R$ 25.700,00 ; R$ 45.000,00 ;18;5; R$ 20.500,00 ;44,37%;102,67%; R$ 2.566,67 ; R$ 1.427,78 
15/09/2026;Setembro;Rio de Janeiro;Manutenção preventiva; R$ 40.300,00 ; R$ 23.800,00 ; R$ 39.000,00 ;15;7; R$ 16.500,00 ;40,94%;103,33%; R$ 2.686,67 ; R$ 1.586,67 
15/09/2026;Setembro;Belo Horizonte;Manutenção corretiva; R$ 32.900,00 ; R$ 22.600,00 ; R$ 33.000,00 ;9;12; R$ 10.300,00 ;31,31%;99,70%; R$ 3.655,56 ; R$ 2.511,11 
15/09/2026;Setembro;Salvador;Inspeção técnica; R$ 30.400,00 ; R$ 17.100,00 ; R$ 30.000,00 ;14;6; R$ 13.300,00 ;43,75%;101,33%; R$ 2.171,43 ; R$ 1.221,43 
15/10/2026;Outubro;São Paulo;Manutenção preventiva; R$ 47.900,00 ; R$ 28.100,00 ; R$ 46.000,00 ;17;6; R$ 19.800,00 ;41,34%;104,13%; R$ 2.817,65 ; R$ 1.652,94 
15/10/2026;Outubro;Rio de Janeiro;Manutenção corretiva; R$ 41.700,00 ; R$ 27.900,00 ; R$ 42.000,00 ;11;10; R$ 13.800,00 ;33,09%;99,29%; R$ 3.790,91 ; R$ 2.536,36 
15/10/2026;Outubro;Belo Horizonte;Inspeção técnica; R$ 34.400,00 ; R$ 19.300,00 ; R$ 33.000,00 ;15;5; R$ 15.100,00 ;43,90%;104,24%; R$ 2.293,33 ; R$ 1.286,67 
15/10/2026;Outubro;Salvador;Manutenção preventiva; R$ 35.600,00 ; R$ 20.700,00 ; R$ 34.000,00 ;13;7; R$ 14.900,00 ;41,85%;104,71%; R$ 2.738,46 ; R$ 1.592,31 
15/11/2026;Novembro;São Paulo;Manutenção corretiva; R$ 45.500,00 ; R$ 30.900,00 ; R$ 47.000,00 ;12;11; R$ 14.600,00 ;32,09%;96,81%; R$ 3.791,67 ; R$ 2.575,00 
15/11/2026;Novembro;Rio de Janeiro;Inspeção técnica; R$ 43.200,00 ; R$ 24.100,00 ; R$ 41.000,00 ;17;5; R$ 19.100,00 ;44,21%;105,37%; R$ 2.541,18 ; R$ 1.417,65 
15/11/2026;Novembro;Belo Horizonte;Manutenção preventiva; R$ 35.800,00 ; R$ 21.100,00 ; R$ 35.000,00 ;14;7; R$ 14.700,00 ;41,06%;102,29%; R$ 2.557,14 ; R$ 1.507,14 
15/11/2026;Novembro;Salvador;Manutenção corretiva; R$ 36.900,00 ; R$ 25.200,00 ; R$ 37.000,00 ;10;12; R$ 11.700,00 ;31,71%;99,73%; R$ 3.690,00 ; R$ 2.520,00 
15/12/2026;Dezembro;São Paulo;Inspeção técnica; R$ 49.800,00 ; R$ 27.300,00 ; R$ 48.000,00 ;20;5; R$ 22.500,00 ;45,18%;103,75%; R$ 2.490,00 ; R$ 1.365,00 
15/12/2026;Dezembro;Rio de Janeiro;Manutenção preventiva; R$ 45.100,00 ; R$ 25.900,00 ; R$ 43.000,00 ;16;6; R$ 19.200,00 ;42,57%;104,88%; R$ 2.818,75 ; R$ 1.618,75 
15/12/2026;Dezembro;Belo Horizonte;Manutenção corretiva; R$ 37.200,00 ; R$ 24.800,00 ; R$ 38.000,00 ;10;11; R$ 12.400,00 ;33,33%;97,89%; R$ 3.720,00 ; R$ 2.480,00 
15/12/2026;Dezembro;Salvador;Inspeção técnica; R$ 34.800,00 ; R$ 19.200,00 ; R$ 35.000,00 ;15;6; R$ 15.600,00 ;44,83%;99,43%; R$ 2.320,00 ; R$ 1.280,00 
